jobArea,jobDescriptor,jobTitle,jobType
IT,Starszy,Programista Python,Pełny etat
Finanse,Specjalista,Księgowy,Pełny etat
Marketing,Młodszy,Specjalista ds. Social Media,Część etatu
HR,Kierownik,Dyrektor HR,Pełny etat
IT,Specjalista,Administrator Sieci,Pełny etat
Budownictwo,Inżynier,Kierownik Budowy,Pełny etat
Zdrowie,Lekarz,Specjalista Chirurg,Pełny etat
Edukacja,Nauczyciel,Wykładowca Akademicki,Pełny etat
Transport,Kierowca,Kierowca Ciężarówki,Pełny etat
Prawo,Radca,Prawnik Korporacyjny,Pełny etat
IT,Młodszy,Tester Oprogramowania,Część etatu
Finanse,Analityk,Analityk Finansowy,Pełny etat
Marketing,Specjalista,Specjalista ds. Marketingu Internetowego,Pełny etat
HR,Asystent,Asystent Działu Kadr,Część etatu
IT,Konsultant,Konsultant IT,Pełny etat
Budownictwo,Technik,Inżynier Projektu,Pełny etat
Zdrowie,Pielęgniarka,Pielęgniarka Oddziałowa,Pełny etat
Edukacja,Dyrektor,Dyrektor Szkoły,Pełny etat
Transport,Logistyk,Specjalista ds. Logistyki,Pełny etat
Prawo,Adwokat,Adwokat Rodzinny,Pełny etat
IT,Architekt,Architekt Systemów,Pełny etat
Finanse,Księgowy,Główny Księgowy,Pełny etat
Marketing,Manager,Product Manager,Pełny etat
HR,Specjalista,Specjalista ds. Rekrutacji,Pełny etat
IT,DevOps,Inżynier DevOps,Pełny etat
Budownictwo,Majster,Brygadzista,Pełny etat
Zdrowie,Farmaceuta,Kierownik Apteki,Pełny etat
Edukacja,Nauczyciel,Nauczyciel Matematyki,Pełny etat
Transport,Mechanik,Mechanik Samochodowy,Pełny etat
Prawo,Notariusz,Notariusz,Pełny etat
IT,Specjalista,Programista Java,Pełny etat
Finanse,Doradca,Doradca Finansowy,Pełny etat
Marketing,Specjalista,Specjalista ds. SEO,Pełny etat
HR,Trener,Trener Rozwoju,Pełny etat
IT,Security,Specjalista Cyberbezpieczeństwa,Pełny etat
Budownictwo,Geodeta,Geodeta Projektowy,Pełny etat
Zdrowie,Dietetyk,Dietetyk Kliniczny,Pełny etat
Edukacja,Wychowawca,Wychowawca Przedszkolny,Pełny etat
Transport,Dyspozytor,Dyspozytor Floty,Pełny etat
Prawo,Sędzia,Sędzia Sądu Rejonowego,Pełny etat
IT,Data Scientist,Analityk Danych,Pełny etat
Finanse,Kontroler,Kontroler Finansowy,Pełny etat
Marketing,Grafik,Grafik Komputerowy,Pełny etat
HR,Psycholog,Psycholog Pracy,Pełny etat
IT,Support,Specjalista Pomocy Technicznej,Pełny etat
Budownictwo,Inżynier,Inżynier Budownictwa Mostowego,Pełny etat
Zdrowie,Ratownik,Ratownik Medyczny,Pełny etat
Edukacja,Bibliotekarz,Bibliotekarz Naukowy,Pełny etat
Transport,Kierowca,Kierowca Autobusu,Pełny etat
Prawo,Prokurator,Prokurator Okręgowy,Pełny etat
IT,Frontend,Programista React,Pełny etat
Finanse,Audytor,Audytor Wewnętrzny,Pełny etat
Marketing,Specjalista,Specjalista ds. Content Marketingu,Pełny etat
HR,Koordynator,Koordynator Zespołu,Pełny etat
IT,Backend,Programista Node.js,Pełny etat
Budownictwo,Technolog,Technolog Budowlany,Pełny etat
Zdrowie,Stomatolog,Stomatolog Dziecięcy,Pełny etat
Edukacja,Dydaktyk,Dydaktyk Językowy,Pełny etat
Transport,Spedytor,Spedytor Międzynarodowy,Pełny etat
Prawo,Komornik,Komornik Sądowy,Pełny etat
IT,Cloud,Inżynier Chmury,Pełny etat
Finanse,Dyrektor,Dyrektor Finansowy,Pełny etat
Marketing,Event Manager,Organizator Eventów,Pełny etat
HR,Recruiter,Specjalista ds. Talent Acquisition,Pełny etat
IT,QA,Tester Automatyczny,Pełny etat
Budownictwo,Elektryk,Inżynier Elektryk,Pełny etat
Zdrowie,Fizjoterapeuta,Fizjoterapeuta Sportowy,Pełny etat
Edukacja,Korepetytor,Korepetytor Matematyki,Część etatu
Transport,Kierowca,Kierowca Tira,Pełny etat
Prawo,Doradca,Doradca Podatkowy,Pełny etat
IT,Scrum Master,Scrum Master,Pełny etat
Finanse,Specjalista,Specjalista ds. Windykacji,Pełny etat
Marketing,Brand Manager,Menadżer Marki,Pełny etat
HR,Doradca,Doradca Zawodowy,Pełny etat
IT,Embedded,Programista C++,Pełny etat
Budownictwo,Hydraulik,Hydraulik Budowlany,Pełny etat
Zdrowie,Optyk,Optyk Okularowy,Pełny etat
Edukacja,Logopeda,Logopeda Szkolny,Pełny etat
Transport,Kierowca,Kierowca Ubera,Część etatu
Prawo,Syndyk,Syndyk Masy Upadłościowej,Pełny etat
IT,UX/UI,Projektant Interfejsów,Pełny etat
