jobArea,jobDescriptor,jobTitle,jobType
Tecnologia,Sênior,Desenvolvedor de Software,Tempo integral
Marketing,Júnior,Especialista em Mídias Sociais,Meio período
Finanças,Analista,Contador,Tempo integral
Recursos Humanos,Assistente,Recrutador,Contrato
Vendas,Representante,Consultor de Vendas,Tempo integral
Saúde,Enfermeiro,Enfermeiro Clínico,Tempo integral
Educação,Professor,Professor do Ensino Fundamental,Tempo integral
Design,Criativo,Designer Gráfico,Freelance
Engenharia,Júnior,Engenheiro Civil,Tempo integral
Jurídico,Advogado,Advogado Empresarial,Tempo integral
Logística,Coordenador,Supervisor de Armazém,Tempo integral
Mídia,Editor,Editor de Conteúdo,Contrato
Consultoria,Consultor,Consultor Estratégico,Freelance
Administração,Assistente,Assistente Administrativo,Meio período
Tecnologia,Especialista,Administrador de Sistemas,Tempo integral
Arquitetura,Arquiteto,Arquiteto de Interiores,Tempo integral
Banco,Consultor,Consultor Financeiro,Tempo integral
Manufatura,Supervisor,Supervisor de Produção,Tempo integral
Turismo,Guia,Guia Turístico,Freelance
Pesquisa,Pesquisador,Pesquisador Científico,Tempo integral
Tecnologia,Desenvolvedor,Desenvolvedor Front-end,Contrato
Saúde,Médico,Médico Generalista,Tempo integral
Educação,Docente,Professor do Ensino Médio,Tempo integral
Design,Ilustrador,Ilustrador Digital,Freelance
Engenharia,Engenheiro,Engenheiro Mecânico,Tempo integral
Jurídico,Paralegal,Assistente Jurídico,Meio período
Logística,Operador,Operador Logístico,Tempo integral
Mídia,Jornalista,Jornalista Esportivo,Contrato
Consultoria,Sênior,Consultor Sênior,Tempo integral
Tecnologia,Técnico,Técnico de Suporte,Meio período
Marketing,Digital,Especialista em SEO,Tempo integral
Finanças,Auditor,Auditor Interno,Tempo integral
Recursos Humanos,Gerente,Gerente de RH,Tempo integral
Vendas,Gerente,Gerente de Vendas,Tempo integral
Saúde,Terapeuta,Terapeuta Ocupacional,Tempo integral
Educação,Professor,Professor de Inglês,Tempo integral
Design,Web,Designer Web,Freelance
Engenharia,Elétrica,Engenheiro Elétrico,Tempo integral
Jurídico,Tabelião,Tabelião,Tempo integral
Logística,Motorista,Motorista de Caminhão,Tempo integral
Mídia,Fotógrafo,Fotógrafo Profissional,Freelance
Consultoria,TI,Consultor de TI,Contrato
Tecnologia,DevOps,Engenheiro DevOps,Tempo integral
Marketing,Conteúdo,Redator Publicitário,Freelance
Finanças,Tesoureiro,Tesoureiro Corporativo,Tempo integral
Recursos Humanos,Especialista,Especialista em Folha,Tempo integral
Vendas,Técnico,Vendedor Técnico,Tempo integral
Saúde,Psicólogo,Psicólogo Clínico,Tempo integral
Educação,Tutor,Tutor Online,Freelance
Design,3D,Modelador 3D,Contrato
Engenharia,Industrial,Engenheiro Industrial,Tempo integral
Jurídico,Consultor,Consultor Jurídico,Meio período
Logística,Almoxarife,Almoxarife,Tempo integral
Mídia,Locutor,Locutor de Rádio,Contrato
Consultoria,Financeira,Consultor Financeiro,Tempo integral
Tecnologia,QA,Analista de QA,Tempo integral
