jobArea,jobDescriptor,jobTitle,jobType
Tecnologia,Senior,Ingegnere del Software,Tempo pieno
Marketing,Junior,Specialista Social Media,Part-time
Finanza,Analista,Contabile,Tempo pieno
Risorse Umane,Assistente,Reclutatore,Determinato
Vendite,Rappresentante,Agente Commerciale,Tempo pieno
Sanità,Infermiere,Infermiere Clinico,Tempo pieno
Educazione,Insegnante,Maestro Elementare,Tempo pieno
Design,Creativo,Graphic Designer,Libero professionista
Ingegneria,Junior,Ingegnere Civile,Tempo pieno
Legale,Avvocato,Avvocato d'Affari,Tempo pieno
Logistica,Coordinatore,Supervisore Magazzino,Tempo pieno
Media,Editore,Editor di Contenuti,Determinato
Consulenza,Consulente,Consulente Strategico,Libero professionista
Amministrazione,Assistente,Assistente Amministrativo,Part-time
Tecnologia,Specialista,Amministratore di Sistema,Tempo pieno
Architettura,Architetto,Architetto d'Interni,Tempo pieno
Banca,Consulente,Consulente Finanziario,Tempo pieno
Manifattura,Supervisore,Supervisore Produzione,Tempo pieno
Turismo,Guida,Guida Turistica,Libero professionista
Ricerca,Ricercatore,Ricercatore Scientifico,Tempo pieno
Tecnologia,Sviluppatore,Sviluppatore Frontend,Determinato
Sanità,Medico,Medico Generico,Tempo pieno
Educazione,Professore,Professore di Scuola Superiore,Tempo pieno
Design,Illustratore,Illustratore Digitale,Libero professionista
Ingegneria,Ingegnere,Ingegnere Meccanico,Tempo pieno
Legale,Paralegale,Assistente Legale,Part-time
Logistica,Operatore,Operatore Logistico,Tempo pieno
Media,Giornalista,Giornalista Sportivo,Determinato
Consulenza,Senior,Consulente Strategico,Tempo pieno
Tecnologia,Tecnico,Tecnico Helpdesk,Part-time
Marketing,Digitale,Specialista SEO,Tempo pieno
Finanza,Revisore,Revisore Interno,Tempo pieno
Risorse Umane,Responsabile,Responsabile HR,Tempo pieno
Vendite,Manager,Responsabile Vendite,Tempo pieno
Sanità,Terapista,Terapista Occupazionale,Tempo pieno
Educazione,Docente,Insegnante di Inglese,Tempo pieno
Design,Web,Web Designer,Libero professionista
Ingegneria,Elettrico,Ingegnere Elettrico,Tempo pieno
Legale,Notaio,Notaio,Tempo pieno
Logistica,Autista,Autista di Camion,Tempo pieno
Media,Fotografo,Fotografo Professionista,Libero professionista
Consulenza,IT,Consulente IT,Determinato
Tecnologia,DevOps,Ingegnere DevOps,Tempo pieno
Marketing,Contenuti,Scrittore Pubblicitario,Libero professionista
Finanza,Tesoriere,Tesoriere Aziendale,Tempo pieno
Risorse Umane,Specialista,Responsabile Paghe,Tempo pieno
Vendite,Tecnico,Venditore Tecnico,Tempo pieno
