jobArea,jobDescriptor,jobTitle,jobType
Tecnología,Senior,Ingeniero de Software,Tiempo completo
Marketing,Junior,Especialista en Redes Sociales,Medio tiempo
Finanzas,Analista,Contador Público,Tiempo completo
Recursos Humanos,Asistente,Reclutador,Contrato
Ventas,Representante,Ejecutivo de Ventas,Tiempo completo
Salud,Enfermero,Enfermero Clínico,Tiempo completo
Educación,Profesor,Maestro de Primaria,Tiempo completo
Diseño,Creativo,Diseñador Gráfico,Freelance
Ingeniería,Junior,Ingeniero Civil,Tiempo completo
Legal,Abogado,Abogado Corporativo,Tiempo completo
Logística,Coordinador,Supervisor de Almacén,Tiempo completo
Medios,Editor,Editor de Contenidos,Contrato
Consultoría,Consultor,Consultor de Negocios,Freelance
Administración,Asistente,Asistente Administrativo,Medio tiempo
Tecnología,Especialista,Administrador de Sistemas,Tiempo completo
Arquitectura,Arquitecto,Arquitecto de Interiores,Tiempo completo
Banca,Asesor,Asesor Financiero,Tiempo completo
Manufactura,Supervisor,Supervisor de Producción,Tiempo completo
Turismo,Guía,Guía Turístico,Freelance
Investigación,Investigador,Investigador Científico,Tiempo completo
Comercio,Dependiente,Vendedor Minorista,Medio tiempo
Tecnología,Desarrollador,Desarrollador Frontend,Contrato
Salud,Médico,Médico General,Tiempo completo
Educación,Profesor,Profesor de Secundaria,Tiempo completo
Diseño,Ilustrador,Ilustrador Digital,Freelance
Ingeniería,Ingeniero,Ingeniero Mecánico,Tiempo completo
Legal,Paralegal,Asistente Legal,Medio tiempo
Logística,Operador,Operador Logístico,Tiempo completo
Medios,Periodista,Periodista Deportivo,Contrato
Consultoría,Senior,Consultor Estratégico,Tiempo completo
Tecnología,Senior,Ingeniero de Software,Tiempo completo
Marketing,Junior,Especialista en Redes Sociales,Medio tiempo
Finanzas,Analista,Contador Público,Tiempo completo
Recursos Humanos,Asistente,Reclutador,Contrato
Ventas,Representante,Ejecutivo de Ventas,Tiempo completo
Salud,Enfermero,Enfermero Clínico,Tiempo completo
Educación,Profesor,Maestro de Primaria,Tiempo completo
Diseño,Creativo,Diseñador Gráfico,Freelance
Ingeniería,Junior,Ingeniero Civil,Tiempo completo
Legal,Abogado,Abogado Corporativo,Tiempo completo
Logística,Coordinador,Supervisor de Almacén,Tiempo completo
Medios,Editor,Editor de Contenidos,Contrato
Consultoría,Consultor,Consultor de Negocios,Freelance
Administración,Asistente,Asistente Administrativo,Medio tiempo
Tecnología,Especialista,Administrador de Sistemas,Tiempo completo
Arquitectura,Arquitecto,Arquitecto de Interiores,Tiempo completo
Banca,Asesor,Asesor Financiero,Tiempo completo
Manufactura,Supervisor,Supervisor de Producción,Tiempo completo
Turismo,Guía,Guía Turístico,Freelance
Investigación,Investigador,Investigador Científico,Tiempo completo
Comercio,Dependiente,Vendedor Minorista,Medio tiempo
Tecnología,Desarrollador,Desarrollador Frontend,Contrato
Salud,Médico,Médico General,Tiempo completo
Educación,Profesor,Profesor de Secundaria,Tiempo completo
Diseño,Ilustrador,Ilustrador Digital,Freelance
Ingeniería,Ingeniero,Ingeniero Mecánico,Tiempo completo
Legal,Paralegal,Asistente Legal,Medio tiempo
Logística,Operador,Operador Logístico,Tiempo completo
Medios,Periodista,Periodista Deportivo,Contrato
Consultoría,Senior,Consultor Estratégico,Tiempo completo
Tecnología,Técnico,Técnico de Soporte IT,Medio tiempo
Marketing,Digital,Especialista en SEO,Tiempo completo
Finanzas,Auditor,Auditor Interno,Tiempo completo
Recursos Humanos,Director,Director de RH,Tiempo completo
Ventas,Gerente,Gerente de Ventas,Tiempo completo
Salud,Terapeuta,Terapeuta Ocupacional,Tiempo completo
Educación,Maestro,Maestro de Inglés,Tiempo completo
Diseño,Web,Diseñador Web,Freelance
Ingeniería,Eléctrico,Ingeniero Eléctrico,Tiempo completo
Legal,Notario,Notario Público,Tiempo completo
Logística,Conductor,Conductor de Camiones,Tiempo completo
Medios,Fotógrafo,Fotógrafo Profesional,Freelance
Consultoría,IT,Consultor TI,Contrato
Tecnología,DevOps,Ingeniero DevOps,Tiempo completo
Marketing,Content,Redactor Publicitario,Freelance
Finanzas,Tesorero,Tesorero Corporativo,Tiempo completo
Recursos Humanos,Especialista,Especialista en Nóminas,Tiempo completo
Ventas,Técnico,Vendedor Técnico,Tiempo completo
Salud,Psicólogo,Psicólogo Clínico,Tiempo completo
Educación,Tutor,Tutor Online,Freelance
Diseño,3D,Modelador 3D,Contrato
Ingeniería,Industrial,Ingeniero Industrial,Tiempo completo
Legal,Asesor,Asesor Jurídico,Medio tiempo
Logística,Almacenista,Almacenista,Tiempo completo
Medios,Locutor,Locutor de Radio,Contrato
Consultoría,Financiero,Consultor Financiero,Tiempo completo
Tecnología,QA,Analista de Calidad,Tiempo completo
Marketing,Ecommerce,Especialista en Ecommerce,Tiempo completo
Finanzas,Analista,Analista de Crédito,Tiempo completo
Recursos Humanos,Entrenador,Entrenador Corporativo,Contrato
Ventas,Telemarketing,Operador Telemarketing,Medio tiempo
Salud,Nutricionista,Nutricionista Clínico,Tiempo completo
Educación,Investigador,Investigador Educativo,Tiempo completo
Diseño,Gráfico,Diseñador de Packaging,Freelance
Ingeniería,Químico,Ingeniero Químico,Tiempo completo
Legal,Procurador,Procurador Legal,Tiempo completo
Logística,Planificador,Planificador de Rutas,Tiempo completo
Medios,Productor,Productor Audiovisual,Contrato
Consultoría,RRHH,Consultor de Recursos Humanos,Tiempo completo
Tecnología,Soporte,Técnico de Helpdesk,Medio tiempo
Marketing,Publicidad,Especialista en Publicidad,Tiempo completo
Finanzas,Gestor,Gestor de Inversiones,Tiempo completo
Recursos Humanos,Analista,Analista de Compensaciones,Tiempo completo
Ventas,Distribuidor,Distribuidor de Productos,Tiempo completo
Salud,Fisioterapeuta,Fisioterapeuta,Tiempo completo
Educación,Coordinador,Coordinador Académico,Tiempo completo
Diseño,UI/UX,Diseñador UI/UX,Freelance
Ingeniería,Minero,Ingeniero de Minas,Tiempo completo
Legal,Mediador,Mediador Familiar,Medio tiempo
Logística,Importaciones,Especialista en Importaciones,Tiempo completo
Medios,Crítico,Crítico de Cine,Freelance
Consultoría,Marketing,Consultor de Marketing,Tiempo completo
Tecnología,Seguridad,Especialista en Ciberseguridad,Tiempo completo
Marketing,Investigación,Analista de Mercado,Tiempo completo
Finanzas,Contable,Contable Senior,Tiempo completo
Recursos Humanos,Reclutador,Reclutador IT,Contrato
Ventas,Mayorista,Vendedor Mayorista,Tiempo completo
Salud,Optometrista,Optometrista,Tiempo completo
Educación,Asesor,Asesor Educativo,Medio tiempo
Diseño,Moda,Diseñador de Moda,Freelance
Ingeniería,Ambiental,Ingeniero Ambiental,Tiempo completo
Legal,Penal,Abogado Penalista,Tiempo completo
Logística,Exportaciones,Especialista en Exportaciones,Tiempo completo
Medios,Guionista,Guionista de TV,Contrato
Consultoría,Operaciones,Consultor Operacional,Tiempo completo
Tecnología,Data,Ingeniero de Datos,Tiempo completo
Marketing,Branding,Especialista en Branding,Tiempo completo
Finanzas,Riesgos,Analista de Riesgos,Tiempo completo
